name,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Better Days (NEIKED x Mae Muller x Polo G),0.717,0.671,-5.077,0,0,0.0337,0.0018,0.00000254,0.0921,0.699,110.054
The Motto,0.754,0.763,-4.627,0,7,0.0435,0.0301,0.0000223,0.0901,0.464,117.953
Need to Know,0.664,0.609,-6.509,1,1,0.0707,0.304,0,0.0926,0.194,130.041
Whatever You Like,0.687,0.679,-9.426,0,1,0.0432,0.109,0.000986,0.104,0.614,123.976
MONEY,0.831,0.554,-9.998,0,1,0.218,0.161,0.0000612,0.152,0.396,140.026
Freaks,0.345,0.941,-9.918,1,9,0.0466,0.0000384,0.633,0.0511,0.407,179.626
Heart of Glass,0.75,0.838,-5.132,1,9,0.124,0.194,0.00000799,0.313,0.397,123.89
Blinding Lights,0.514,0.73,-5.934,1,1,0.0598,0.00146,0.0000954,0.0897,0.334,171.005
Thot Shit,0.95,0.693,-3.424,1,9,0.0898,0.0133,0,0.173,0.891,130.02
Mr. Saxobeat,0.696,0.899,-5.812,0,6,0.144,0.131,0.00141,0.114,0.517,123.901
Moves Like Jagger,0.552,0.831,-7.228,0,6,0.194,0.0905,0.000026,0.44,0.733,127.851
Pumped Up Kicks,0.669,0.687,-4.753,1,0,0.043,0.152,0.000016,0.308,0.386,123.903
Beautiful Mistakes (feat. Megan Thee Stallion),0.713,0.676,-5.483,1,10,0.027,0.0377,0,0.154,0.721,99.048
RAPSTAR,0.789,0.536,-6.862,1,6,0.242,0.41,0,0.129,0.437,81.039
Lies,0.823,0.771,-6.055,0,9,0.0365,0.627,0.00101,0.271,0.658,122.015
Ready 4 Luv - TMLH Summer Mix,0.679,0.869,-4.701,0,5,0.138,0.00969,0.0000132,0.278,0.41,125.09
Ain't Shit,0.855,0.488,-4.601,1,3,0.208,0.506,0,0.347,0.619,124.097
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,0.722,0.893,-3.255,0,0,0.0475,0.0441,0.000937,0.0673,0.439,119.932
So Pretty,0.799,0.543,-6.094,0,10,0.24,0.0512,0.0425,0.134,0.25,187.906
Todo De Ti,0.78,0.718,-3.605,0,3,0.0506,0.31,0.000163,0.0932,0.342,127.949
Write This Down (Instrumental),0.826,0.738,-4.658,0,10,0.0444,0.00355,0.939,0.0633,0.781,93.005
Peaches (feat. Daniel Caesar & Giveon),0.677,0.696,-6.181,1,0,0.119,0.321,0,0.42,0.464,90.03
positions,0.736,0.802,-4.759,1,0,0.0864,0.468,0,0.094,0.675,144.005
Slow Down,0.715,0.72,-3.906,1,9,0.193,0.134,0,0.366,0.41,128.048
What If,0.609,0.777,-5.879,1,6,0.0353,0.00162,0.00000128,0.073,0.349,126.001
Running Away,0.58,0.696,-10.91,1,7,0.0408,0.66,0.852,0.145,0.721,93.688
Aesthetic,0.714,0.594,-10.63,1,0,0.43,0.965,0.255,0.129,0.45,169.837
Levitating (feat. DaBaby),0.702,0.825,-3.787,0,6,0.0601,0.00883,0,0.0674,0.915,102.977
Work from Home,0.845,0.669,-7.886,1,8,0.0658,0.181,0.00347,0.0897,0.86,125.014
Bundles (feat. Taylor Girlz),0.939,0.682,-5.931,1,11,0.306,0.00152,0,0.0552,0.584,130.022
Sweater Weather,0.612,0.807,-2.81,1,10,0.0336,0.0495,0.0177,0.101,0.398,124.053
As It Was,0.595,0.812,-5.623,1,9,0.0481,0.00321,0.00000138,0.397,0.483,104.98
Follow Me,0.707,0.867,-4.355,0,6,0.05,0.00453,0.00135,0.123,0.485,122.014
